osm_id,coll_date,num_households_premises,num_shops_premises,name,population,building_type,type_waste_generator,osmid,ward,building_cluster,region,total_waste,dry_waste,wet_waste,hazardous_waste
294276615,01-Oct-21,80,21,random_86,,yes,,1,Ward 61,BMC1,BMC colony,374,31,81,262
294276617,01-Oct-21,11,31,random_87,,yes,,1,Ward 61,unk2,unknown_2,388,32,44,312
294276618,01-Oct-21,0,4,random_88,,yes,,1,Ward 61,unk11,unknown_1,951,230,309,412
294276619,01-Oct-21,55,32,random_89,,yes,,1,Ward 61,unk22,unknown_2,604,388,70,146
294276620,01-Oct-21,30,38,random_90,,yes,,1,Ward 61,unk22,unknown_2,666,267,362,37
294276623,01-Oct-21,62,10,random_91,,yes,,1,Ward 61,unk22,unknown_2,780,411,295,74
294276624,01-Oct-21,26,30,random_92,,yes,,1,Ward 61,BMC1,BMC colony,1024,468,286,270
294276627,01-Oct-21,76,23,random_93,,yes,,1,Ward 61,unk2,unknown_2,1015,430,276,309
294276628,01-Oct-21,21,15,random_94,,yes,,1,Ward 61,unk22,unknown_2,554,230,28,296
352922203,01-Oct-21,12,18,random_95,,yes,,1,Ward 61,JBCN SCHOOL LANE2,Serenity,876,330,359,187
352922204,01-Oct-21,16,31,random_96,,yes,,1,Ward 61,JBCN SCHOOL LANE2,Serenity,671,279,167,225
352922214,01-Oct-21,47,9,random_97,,yes,,1,Ward 61,ANAND NAGAR2,ANAND NAGAR,875,312,219,344
352937274,01-Oct-21,22,22,Shantivan Bldg no. 1-3,Off New Link Road,apartments,,1,Ward 61,Walawalkar2,Walawalkar,471,62,84,325
352937294,01-Oct-21,95,22,random_98,,yes,,1,Ward 61,ANAND NAGAR1,ANAND NAGAR,1128,312,328,488
352937296,01-Oct-21,57,29,random_99,,yes,,1,Ward 61,Walawalkar1,Walawalkar,590,174,88,328
357305658,01-Oct-21,1,36,random_100,,apartments,,1,Ward 61,unk2,unknown_2,1119,458,398,263
357305671,01-Oct-21,91,20,random_101,,yes,,1,Ward 61,unk2,unknown_2,398,144,242,12
357305680,01-Oct-21,3,17,random_102,,yes,,1,Ward 61,Behram Baug,Behram Baug,1027,462,278,287
357305681,01-Oct-21,4,2,random_103,,yes,,1,Ward 61,unk11,unknown_1,884,118,487,279
357305683,01-Oct-21,11,25,random_104,,apartments,,1,Ward 61,unk11,unknown_1,876,313,97,466
358508758,01-Oct-21,16,25,random_105,,yes,,1,Ward 61,unk22,unknown_2,396,305,53,38
358508761,01-Oct-21,92,36,random_106,,yes,,1,Ward 61,unk2,unknown_2,1173,322,416,435
358822891,01-Oct-21,38,32,random_107,,yes,,1,Ward 61,unk2,unknown_2,939,451,230,258
358822892,01-Oct-21,28,22,Tarapore Towers,,apartments,,1,Ward 61,Daimond /Pearl,Tarapore Towers,942,161,395,386
358822894,01-Oct-21,24,36,Tarapore Towers,,apartments,,1,Ward 61,Daimond /Pearl,Tarapore Towers,588,47,468,73
358822896,01-Oct-21,47,45,Tarapore Towers,,apartments,,1,Ward 61,Daimond /Pearl,Tarapore Towers,761,177,273,311
358831990,01-Oct-21,40,32,random_108,,yes,,1,Ward 61,unk11,unknown_1,1122,471,265,386
358832004,01-Oct-21,94,0,random_109,,yes,,1,Ward 61,unk11,unknown_1,553,79,36,438
358852089,01-Oct-21,56,26,random_110,,apartments,,1,Ward 61,unk11,unknown_1,497,4,172,321
359269237,01-Oct-21,91,20,random_111,,yes,,1,Ward 61,ANAND NAGAR1,ANAND NAGAR,609,132,169,308
359269239,01-Oct-21,40,49,random_112,,apartments,,1,Ward 61,unk11,unknown_1,608,207,223,178
359269240,01-Oct-21,9,46,random_113,,yes,,1,Ward 61,Behram Baug,Behram Baug,290,8,201,81
359269241,01-Oct-21,74,19,random_114,,yes,,1,Ward 61,unk11,unknown_1,906,383,363,160
359269244,01-Oct-21,16,11,random_115,,yes,,1,Ward 61,Behram Baug,Behram Baug,718,291,223,204
417320262,01-Oct-21,88,28,Oshiwara Police Station,,yes,,1,Ward 61,GREEN PARK,Heera Panna,647,305,335,7
844471187,01-Oct-21,34,12,City International School,,school,,1,Ward 61,JBCN SCHOOL LANE1,Serenity,545,49,474,22
844474525,01-Oct-21,15,27,Reliable Business Centre,,commercial,,1,Ward 61,JBCN SCHOOL LANE1,Serenity,708,167,161,380
986880185,01-Oct-21,11,20,random_116,,apartments,,1,Ward 61,unk2,unknown_2,790,317,327,146
986880185,02-Oct-21,55,8,"Transit Camp, Behram Baug",,commercial,,,Ward 61,ANAND NAGAR1,ANAND NAGAR,692,429,155,108
986880185,02-Oct-21,100,35,random_5,,yes,,,Ward 61,GREEN PARK,Heera Panna,735,92,223,420
986880185,02-Oct-21,37,32,Heera Panna,,commercial,,,Ward 61,GREEN PARK,Heera Panna,856,265,250,341
986880185,02-Oct-21,5,46,Park Paradise,,yes,,,Ward 61,Walawalkar1,Walawalkar,123,6,32,85
986880185,02-Oct-21,79,24,Park View,,yes,,,Ward 61,Walawalkar1,Walawalkar,408,316,85,7
986880185,02-Oct-21,100,1,random_4,,residential,,,Ward 61,unk11,unknown_1,1130,358,368,404
986880185,02-Oct-21,71,27,Evershine Greens,,apartments,,,Ward 61,unk1,unknown_4,910,427,248,235
986880185,02-Oct-21,0,26,random_2,,apartments,,,Ward 61,JBCN SCHOOL LANE1,Serenity,917,360,394,163
986880185,02-Oct-21,75,46,random_1,,residential,,,Ward 61,unk1,unknown_4,66,21,33,12
986880185,02-Oct-21,69,41,random_3,,residential,,,Ward 61,unk11,unknown_1,476,65,208,203
986880185,02-Oct-21,86,45,random_6,,residential,,,Ward 61,JBCN SCHOOL LANE1,Serenity,649,418,152,79
986880185,02-Oct-21,12,5,random_7,,residential,,,Ward 61,unk11,unknown_1,627,138,356,133
986880185,02-Oct-21,23,26,random_8,,residential,,,Ward 61,unk11,unknown_1,868,96,410,362
986880185,02-Oct-21,87,48,random_9,,residential,,,Ward 61,JBCN SCHOOL LANE2,Serenity,902,254,242,406
986880185,02-Oct-21,42,17,random_11,,residential,,,Ward 61,unk11,unknown_1,215,35,25,155
986880185,02-Oct-21,86,48,Evershine Greens,,apartments,,,Ward 61,unk1,unknown_4,1193,462,275,456
986880185,02-Oct-21,62,13,random_10,,residential,,,Ward 61,JBCN SCHOOL LANE2,Serenity,774,59,366,349
986880185,02-Oct-21,90,10,random_13,,residential,,,Ward 61,unk11,unknown_1,819,205,419,195
986880185,02-Oct-21,17,4,random_12,,residential,,,Ward 61,unk1,unknown_4,501,264,116,121
986880185,02-Oct-21,59,30,random_14,,residential,,,Ward 61,unk11,unknown_1,1008,147,452,409
986880185,02-Oct-21,2,15,random_15,,residential,,,Ward 61,unk11,unknown_1,1068,290,381,397
986880185,02-Oct-21,69,11,random_16,,residential,,,Ward 61,unk11,unknown_1,504,32,390,82
986880185,02-Oct-21,15,33,random_17,,residential,,,Ward 61,unk11,unknown_1,899,19,464,416
986880185,02-Oct-21,80,42,random_18,,residential,,,Ward 61,unk11,unknown_1,1091,193,428,470
986880185,02-Oct-21,25,14,random_19,Off New Link Road,yes,,,Ward 61,ANAND NAGAR1,ANAND NAGAR,939,431,415,93
986880185,02-Oct-21,32,11,Raigad Military School,,school,,,Ward 61,unk1,unknown_4,584,284,270,30
986880185,02-Oct-21,26,45,random_20,,residential,,,Ward 61,JBCN SCHOOL LANE2,Serenity,898,439,143,316
986880185,02-Oct-21,76,46,random_21,,residential,,,Ward 61,JBCN SCHOOL LANE2,Serenity,755,254,349,152
986880185,02-Oct-21,9,14,Samruddhi CHS,Oshiwara Link Road,residential,,,Ward 61,Walawalkar1,Walawalkar,608,343,83,182
986880185,02-Oct-21,93,35,Oshiwara Basera,,residential,,,Ward 61,Walawalkar1,Walawalkar,877,431,335,111
986880185,02-Oct-21,23,22,East Side Apartments,,apartments,,,Ward 61,Walawalkar1,Walawalkar,870,331,76,463
986880185,02-Oct-21,10,10,Anand Vihar,,residential,,,Ward 61,Walawalkar1,Walawalkar,918,123,327,468
986880185,02-Oct-21,19,32,Meera C.H.S.,"Link Road Extension, Oshiwara, Andheri West",residential,,,Ward 61,MEGA MALL 1,unknown_3,556,313,3,240
986880185,02-Oct-21,54,40,random_22,,yes,,,Ward 61,Techweb centre,Tarapore Garden,722,294,2,426
986880185,02-Oct-21,57,17,random_23,,yes,,,Ward 61,Techweb centre,Tarapore Garden,661,207,74,380
986880185,02-Oct-21,93,27,random_24,,apartments,,,Ward 61,Daimond /Pearl,Tarapore Towers,704,362,282,60
986880185,02-Oct-21,44,8,random_25,,yes,,,Ward 61,Walawalkar2,Walawalkar,879,132,348,399
986880185,02-Oct-21,45,42,Sanskar,,apartments,,,Ward 61, Evershine Green,maheshwari chowk,1088,404,427,257
986880185,02-Oct-21,84,4,random_26,,yes,,,Ward 61, Evershine Green,maheshwari chowk,573,74,171,328
986880185,02-Oct-21,9,30,Tarapore Towers,,apartments,,,Ward 61,Daimond /Pearl,Tarapore Towers,622,27,183,412
986880185,02-Oct-21,25,1,random_27,,yes,,,Ward 61,MEGA MALL 1,unknown_3,945,394,365,186
986880185,02-Oct-21,74,1,random_28,,apartments,,,Ward 61,MEGA MALL 2,unknown_3,833,397,343,93
986880185,02-Oct-21,50,45,random_29,,apartments,,,Ward 61,Milliennium Court,maheshwari chowk,1101,223,452,426
986880185,02-Oct-21,50,17,random_30,,apartments,,,Ward 61,Daimond /Pearl,Tarapore Towers,447,45,242,160
986880185,02-Oct-21,17,11,random_31,,yes,,,Ward 61,Walawalkar2,Walawalkar,559,155,128,276
986880185,02-Oct-21,54,43,random_32,,apartments,,,Ward 61, Evershine Green,maheshwari chowk,389,38,230,121
986880185,02-Oct-21,20,32,random_33,,yes,,,Ward 61,MEGA MALL 1,unknown_3,1286,471,344,471
986880185,02-Oct-21,68,4,random_34,,apartments,,,Ward 61,MEGA MALL 2,unknown_3,1043,230,484,329
986880185,02-Oct-21,81,26,random_35,,apartments,,,Ward 61,Daimond /Pearl,Tarapore Towers,1103,441,488,174
986880185,02-Oct-21,13,3,random_36,,apartments,,,Ward 61,Milliennium Court,maheshwari chowk,206,37,79,90
986880185,02-Oct-21,30,24,random_37,,yes,,,Ward 61,Walawalkar1,Walawalkar,685,54,403,228
986880185,02-Oct-21,16,33,random_38,,apartments,,,Ward 61, Evershine Green,maheshwari chowk,368,57,256,55
986880185,02-Oct-21,50,24,Sargam,,apartments,,,Ward 61,MEGA MALL 2,unknown_3,1087,489,458,140
986880185,02-Oct-21,0,39,random_39,,apartments,,,Ward 61,MEGA MALL 1,unknown_3,294,68,53,173
986880185,02-Oct-21,81,11,Marigold Apartments,Off New Link Road,apartments,,,Ward 61,Daimond /Pearl,Tarapore Towers,583,237,179,167
986880185,02-Oct-21,17,13,random_40,,apartments,,,Ward 61,Milliennium Court,maheshwari chowk,280,139,79,62
986880185,02-Oct-21,70,6,Link Way,,yes,,,Ward 61,Walawalkar2,Walawalkar,550,132,310,108
986880185,02-Oct-21,81,33,random_41,,apartments,,,Ward 61,MEGA MALL 2,unknown_3,835,338,272,225
986880185,02-Oct-21,16,26,random_42,,apartments,,,Ward 61,MEGA MALL 1,unknown_3,506,335,134,37
986880185,02-Oct-21,9,19,random_43,,yes,,,Ward 61,MEGA MALL 1,unknown_3,753,311,167,275
986880185,02-Oct-21,48,2,random_44,,apartments,,,Ward 61,Daimond /Pearl,Tarapore Towers,913,435,171,307
986880185,02-Oct-21,27,8,random_45,,apartments,,,Ward 61,Milliennium Court,maheshwari chowk,893,215,308,370
986880185,02-Oct-21,25,20,random_46,,apartments,,,Ward 61,MEGA MALL 2,unknown_3,558,16,259,283
986880185,02-Oct-21,40,19,random_47,,apartments,,,Ward 61,MEGA MALL 1,unknown_3,1056,481,380,195
986880185,02-Oct-21,74,14,random_48,,apartments,,,Ward 61,Daimond /Pearl,Tarapore Towers,946,341,278,327
986880185,02-Oct-21,60,10,random_49,,apartments,,,Ward 61,MEGA MALL 2,unknown_3,867,348,419,100
986880185,02-Oct-21,13,17,random_50,,apartments,,,Ward 61,Daimond /Pearl,Tarapore Towers,1013,308,223,482
986880185,02-Oct-21,69,35,random_51,,yes,,,Ward 61,Walawalkar2,Walawalkar,893,56,398,439
986880185,02-Oct-21,99,50,random_52,,apartments,,,Ward 61,Daimond /Pearl,Tarapore Towers,608,125,103,380
986880185,02-Oct-21,69,26,random_53,,apartments,,,Ward 61,MEGA MALL 2,unknown_3,459,102,96,261
986880185,02-Oct-21,75,43,random_54,,apartments,,,Ward 61,MEGA MALL 2,unknown_3,906,224,492,190
986880185,02-Oct-21,2,3,Utsav,,apartments,,,Ward 61, Evershine Green,maheshwari chowk,1051,397,422,232
986880185,02-Oct-21,9,7,random_55,,apartments,,,Ward 61,Daimond /Pearl,Tarapore Towers,303,165,35,103
986880185,02-Oct-21,37,28,Garden View - Dr Kaushal Shah's Residence,Off New Link Rd,yes,,,Ward 61,Walawalkar1,Walawalkar,1086,325,403,358
986880185,02-Oct-21,21,2,Rajrani Malhotra Vidyalaya,,school,,,Ward 61,Walawalkar2,Walawalkar,1052,439,352,261
986880185,02-Oct-21,8,4,random_56,,apartments,,,Ward 61,Milliennium Court,maheshwari chowk,436,185,88,163
986880185,02-Oct-21,93,32,random_57,,apartments,,,Ward 61,MEGA MALL 2,unknown_3,966,218,391,357
986880185,02-Oct-21,38,41,Rajnigandha,,apartments,,,Ward 61, Evershine Green,maheshwari chowk,576,333,143,100
986880185,02-Oct-21,99,34,random_58,,apartments,,,Ward 61,Daimond /Pearl,Tarapore Towers,564,324,171,69
986880185,02-Oct-21,14,9,random_59,,yes,,,Ward 61,Walawalkar2,Walawalkar,1066,447,496,123
986880185,02-Oct-21,17,25,random_60,,apartments,,,Ward 61,Milliennium Court,maheshwari chowk,857,228,313,316
986880185,02-Oct-21,0,40,Kaveri,,apartments,,,Ward 61,MEGA MALL 2,unknown_3,784,110,354,320
986880185,02-Oct-21,59,8,random_61,,apartments,,,Ward 61,Milliennium Court,maheshwari chowk,617,307,143,167
986880185,02-Oct-21,12,7,random_62,,yes,,,Ward 61,Techweb centre,Tarapore Garden,1000,75,495,430
986880185,02-Oct-21,49,28,Tarapore Towers,,apartments,,,Ward 61,Daimond /Pearl,Tarapore Towers,901,220,281,400
986880185,02-Oct-21,92,46,random_63,,apartments,,,Ward 61,Milliennium Court,maheshwari chowk,824,109,288,427
986880185,02-Oct-21,92,31,random_64,,yes,,,Ward 61,ANAND NAGAR2,ANAND NAGAR,899,383,313,203
986880185,02-Oct-21,0,12,random_65,,yes,,,Ward 61,ANAND NAGAR2,ANAND NAGAR,785,449,180,156
986880185,02-Oct-21,45,23,random_66,,yes,,,Ward 61,GREEN PARK,Heera Panna,147,18,79,50
986880185,02-Oct-21,66,37,random_67,,yes,,,Ward 61,GREEN PARK,Heera Panna,1194,499,254,441
